,{0},{1},{2},{3},"{0, 1}","{0, 2}","{0, 3}","{1, 2}","{1, 3}","{2, 3}","{0, 1, 2}","{0, 1, 3}","{0, 2, 3}","{1, 2, 3}","{0, 1, 2, 3}",{}
"{0, 1, 2, 3}",3.506398,3.576868,3.380323,5.1556582,3.898506,3.56184,4.1718774,3.7587962,4.15952,4.3055687,3.7657206,3.3634183,4.056765,3.7537928,0.0,3.3708441
"{0, 1, 2}",2.7017221,2.8550608,2.7589257,5.5593486,2.424292,2.8556774,4.634324,3.0364652,4.505234,4.768374,0.0,3.8127635,4.3565025,3.8866596,3.7657206,2.719973
"{0, 1, 3}",3.5967622,3.67958,3.434647,4.750286,3.892366,3.6585746,3.7752104,3.8803964,3.8672225,3.94899,3.8127635,0.0,3.7290602,3.5631382,3.3634183,3.4133718
"{0, 1}",2.9682918,3.0284586,2.96741,5.65174,0.0,3.0651746,4.7363153,3.3066285,4.585664,4.9150314,2.424292,3.892366,4.4517484,4.0623293,3.898506,2.9306552
"{0, 2, 3}",3.6630843,3.7965286,3.4031188,4.0264893,4.4517484,3.7159863,3.3366492,3.9002614,3.2326608,3.3327012,4.3565025,3.7290602,0.0,3.3275242,4.056765,3.3951516
"{0, 2}",1.4380393,2.0675867,1.4061682,5.0564146,3.0651746,0.0,4.136044,2.23767,3.9122643,4.16842,2.8556774,3.6585746,3.7159863,3.183401,3.56184,1.3917669
"{0, 3}",4.079021,4.1514816,3.8098772,3.8583078,4.7363153,4.136044,0.0,4.341794,3.276491,2.964173,4.634324,3.7752104,3.3366492,3.234888,4.1718774,3.7946334
{0},0.0,1.9900662,1.3113902,4.9656076,2.9682918,1.4380393,4.079021,2.1777143,3.8507373,4.1429353,2.7017221,3.5967622,3.6630843,3.1506748,3.506398,1.2889901
"{1, 2, 3}",3.1506748,3.0771453,2.7514036,3.9575944,4.0623293,3.183401,3.234888,3.2484145,3.0032737,3.2044435,3.8866596,3.5631382,3.3275242,0.0,3.7537928,2.7360175
"{1, 2}",2.1777143,1.4954047,1.4374908,5.1578097,3.3066285,2.23767,4.341794,0.0,3.9900184,4.2814565,3.0364652,3.8803964,3.9002614,3.2484145,3.7587962,1.443342
"{1, 3}",3.8507373,3.839885,3.5262568,3.700139,4.585664,3.9122643,3.276491,3.9900184,0.0,3.2707548,4.505234,3.8672225,3.2326608,3.0032737,4.15952,3.5146139
{1},1.9900662,0.0,1.2381203,4.984348,3.0284586,2.0675867,4.1514816,1.4954047,3.839885,4.1497626,2.8550608,3.67958,3.7965286,3.0771453,3.576868,1.222356
"{2, 3}",4.1429353,4.1497626,3.8045406,3.3400779,4.9150314,4.16842,2.964173,4.2814565,3.2707548,0.0,4.768374,3.94899,3.3327012,3.2044435,4.3055687,3.7989862
{2},1.3113902,1.2381203,0.0,4.7263584,2.96741,1.4061682,3.8098772,1.4374908,3.5262568,3.8045406,2.7589257,3.434647,3.4031188,2.7514036,3.380323,0.22118504
{3},4.9656076,4.984348,4.7263584,0.0,5.65174,5.0564146,3.8583078,5.1578097,3.700139,3.3400779,5.5593486,4.750286,4.0264893,3.9575944,5.1556582,4.7116513
{},1.2889901,1.222356,0.22118504,4.7116513,2.9306552,1.3917669,3.7946334,1.443342,3.5146139,3.7989862,2.719973,3.4133718,3.3951516,2.7360175,3.3708441,0.0
