,{0},{1},{2},{3},"{0, 1}","{0, 2}","{0, 3}","{1, 2}","{1, 3}","{2, 3}","{0, 1, 2}","{0, 1, 3}","{0, 2, 3}","{1, 2, 3}","{0, 1, 2, 3}",{}
"{0, 1, 2, 3}",4.379659,4.4300566,4.2517204,8.605447,4.3383436,4.4407425,5.265308,4.55867,5.8809423,5.8161464,4.4049306,4.0606565,4.8098893,5.34967,0.0,4.253218
"{0, 1, 2}",3.738013,3.942283,3.7657921,9.468525,3.413679,3.842,5.73672,4.0492573,6.47887,6.401505,0.0,4.53679,5.298388,5.4309235,4.4049306,3.7290502
"{0, 1, 3}",4.251964,4.384186,4.1669693,8.476528,4.198228,4.3219204,4.873306,4.5404444,5.5806394,5.6202364,4.53679,0.0,4.5942593,5.1509757,4.0606565,4.1788945
"{0, 1}",3.6933594,3.7592106,3.689696,9.344057,0.0,3.7747478,5.6871576,3.9416099,6.367613,6.358556,3.413679,4.198228,5.137718,5.4282103,4.3383436,3.659158
"{0, 2, 3}",4.607831,4.6579895,4.491663,7.7121763,5.137718,4.671377,4.9571686,4.6965547,4.585374,5.81304,5.298388,4.5942593,0.0,4.884457,4.8098893,4.5097103
"{0, 2}",1.3551563,2.572033,1.3379619,8.983222,3.7747478,0.0,5.2047462,2.69317,5.990551,5.9925027,3.842,4.3219204,4.671377,4.978655,4.4407425,1.3120258
"{0, 3}",5.1666756,5.07029,5.093777,7.4455733,5.6871576,5.2047462,0.0,5.369569,4.958247,5.299457,5.73672,4.873306,4.9571686,4.3197703,5.265308,5.136102
{0},0.0,2.5230803,1.2563694,8.944285,3.6933594,1.3551563,5.1666756,2.655062,6.009852,5.9583826,3.738013,4.251964,4.607831,4.9252295,4.379659,1.2208887
"{1, 2, 3}",4.9252295,4.8051343,4.857093,7.873987,5.4282103,4.978655,4.3197703,4.892819,5.562655,5.3692575,5.4309235,5.1509757,4.884457,0.0,5.34967,4.8841906
"{1, 2}",2.655062,2.3514197,2.1511955,8.75614,3.9416099,2.69317,5.369569,0.0,5.9081907,5.9039993,4.0492573,4.5404444,4.6965547,4.892819,4.55867,2.162489
"{1, 3}",6.009852,5.8283277,5.853077,7.7595267,6.367613,5.990551,4.958247,5.9081907,0.0,6.2958794,6.47887,5.5806394,4.585374,5.562655,5.8809423,5.904989
{1},2.5230803,0.0,2.0423763,8.633759,3.7592106,2.572033,5.07029,2.3514197,5.8283277,5.8632593,3.942283,4.384186,4.6579895,4.8051343,4.4300566,2.0273118
"{2, 3}",5.9583826,5.8632593,5.9145513,8.135157,6.358556,5.9925027,5.299457,5.9039993,6.2958794,0.0,6.401505,5.6202364,5.81304,5.3692575,5.8161464,5.967969
{2},1.2563694,2.0423763,0.0,8.910044,3.689696,1.3379619,5.093777,2.1511955,5.853077,5.9145513,3.7657921,4.1669693,4.491663,4.857093,4.2517204,0.28994745
{3},8.944285,8.633759,8.910044,0.0,9.344057,8.983222,7.4455733,8.75614,7.7595267,8.135157,9.468525,8.476528,7.7121763,7.873987,8.605447,8.952134
{},1.2208887,2.0273118,0.28994745,8.952134,3.659158,1.3120258,5.136102,2.162489,5.904989,5.967969,3.7290502,4.1788945,4.5097103,4.8841906,4.253218,0.0
