,{0},{1},{2},{3},"{0, 1}","{0, 2}","{0, 3}","{1, 2}","{1, 3}","{2, 3}","{0, 1, 2}","{0, 1, 3}","{0, 2, 3}","{1, 2, 3}","{0, 1, 2, 3}",{}
"{0, 1, 2, 3}",130.78079,121.04565,135.25188,35.26724,114.53646,130.47464,17.881323,120.065506,20.123314,28.837013,113.92531,3.9815261,14.545254,15.160713,0.0,135.97498
"{0, 1, 2}",18.105984,8.805032,22.415829,133.85341,1.0613587,17.658707,127.349846,7.8900595,123.014755,131.63177,0.0,115.29979,126.17196,120.8399,113.92531,23.190712
"{0, 1, 3}",131.25894,121.61343,135.92273,33.208714,114.799774,131.36308,15.141162,120.84523,17.61974,27.772398,115.29979,0.0,16.692924,14.054061,3.9815261,136.6352
"{0, 1}",17.606081,8.469248,22.31966,133.80116,0.0,17.886711,127.131454,7.9709034,122.85238,131.63544,1.0613587,114.799774,126.37993,120.90072,114.53646,23.074053
"{0, 2, 3}",125.235176,131.49158,130.31805,24.217905,126.37993,124.77083,4.4881907,130.98717,28.312876,17.306389,126.17196,16.692924,0.0,24.13899,14.545254,131.04079
"{0, 2}",0.78281707,22.72907,6.3152213,132.93993,17.886711,0.0,126.05261,22.817865,137.60513,130.8663,17.658707,131.36308,124.77083,135.98512,130.47464,7.0893764
"{0, 3}",125.67508,132.30432,131.13695,21.36801,127.131454,126.05261,0.0,131.83208,26.088778,15.830986,127.349846,15.141162,4.4881907,24.060665,17.881323,131.84189
{0},0.0,22.635525,6.3092036,132.91553,17.606081,0.78281707,125.67508,22.752306,137.5758,130.8939,18.105984,131.25894,125.235176,135.98996,130.78079,7.0446057
"{1, 2, 3}",135.98996,120.27881,135.58969,24.0036,120.90072,135.98512,24.060665,118.71004,7.045378,17.1679,120.8399,14.054061,24.13899,0.0,15.160713,136.3671
"{1, 2}",22.752306,2.151813,17.78001,133.40984,7.9709034,22.817865,131.83208,0.0,121.47638,131.17503,7.8900595,120.84523,130.98717,118.71004,120.065506,18.670612
"{1, 3}",137.5758,120.84694,137.24751,18.691267,122.85238,137.60513,26.088778,121.47638,0.0,20.823456,123.014755,17.61974,28.312876,7.045378,20.123314,137.44646
{1},22.635525,0.0,17.843092,133.34418,8.469248,22.72907,132.30432,2.151813,120.84694,131.73933,8.805032,121.61343,131.49158,120.27881,121.04565,17.585318
"{2, 3}",130.8939,131.73933,129.80034,8.34285,131.63544,130.8663,15.830986,131.17503,20.823456,0.0,131.63177,27.772398,17.306389,17.1679,28.837013,130.68457
{2},6.3092036,17.843092,0.0,131.98619,22.31966,6.3152213,131.13695,17.78001,137.24751,129.80034,22.415829,135.92273,130.31805,135.58969,135.25188,1.107862
{3},132.91553,133.34418,131.98619,0.0,133.80116,132.93993,21.36801,133.40984,18.691267,8.34285,133.85341,33.208714,24.217905,24.0036,35.26724,131.764
{},7.0446057,17.585318,1.107862,131.764,23.074053,7.0893764,131.84189,18.670612,137.44646,130.68457,23.190712,136.6352,131.04079,136.3671,135.97498,0.0
