,{0},{1},{2},{3},"{0, 1}","{0, 2}","{0, 3}","{1, 2}","{1, 3}","{2, 3}","{0, 1, 2}","{0, 1, 3}","{0, 2, 3}","{1, 2, 3}","{0, 1, 2, 3}",{}
"{0, 1, 2, 3}",207.16547,195.10132,209.3482,54.85003,192.0491,207.35747,22.02061,195.5937,27.650618,35.620834,192.43904,6.6113687,14.607569,16.866854,0.0,208.93336
"{0, 1, 2}",16.521477,8.005856,18.535835,239.13129,1.5960745,16.329573,210.92094,5.936219,214.48248,225.10307,0.0,196.5079,204.89502,207.1839,192.43904,18.564114
"{0, 1, 3}",211.23885,199.16824,213.42545,50.13855,196.09749,211.43176,17.00851,199.68025,22.701569,31.299828,196.5079,0.0,15.198763,12.779221,6.6113687,213.013
"{0, 1}",17.040085,8.159575,19.16694,238.73346,0.0,17.021269,210.496,6.8058763,214.09479,224.7059,1.5960745,196.09749,204.47946,206.81006,192.0491,19.04899
"{0, 2, 3}",218.6403,207.50957,220.8112,43.503445,204.47946,218.8323,9.66693,208.02869,28.339285,23.457754,204.89502,15.198763,0.0,18.582653,14.607569,220.40056
"{0, 2}",0.6093532,18.681358,3.2861714,252.82172,17.021269,0.0,224.84164,17.631062,229.13904,238.89839,16.329573,211.43176,218.8323,221.93823,207.35747,4.3317757
"{0, 3}",224.64766,213.53998,226.82152,36.375923,210.496,224.84164,0.0,214.06311,21.507929,17.335045,210.92094,17.00851,9.66693,18.728914,22.02061,226.41347
{0},0.0,18.911142,3.7612252,252.64023,17.040085,0.6093532,224.64766,17.918,228.95712,238.71819,16.521477,211.23885,218.6403,221.75612,207.16547,4.526965
"{1, 2, 3}",221.75612,209.60393,223.8616,39.61359,206.81006,221.93823,18.728914,210.10194,12.085949,20.546198,207.1839,12.779221,18.582653,0.0,16.866854,223.45215
"{1, 2}",17.918,3.0142875,15.521053,241.9985,6.8058763,17.631062,214.06311,0.0,217.39848,228.00189,5.936219,199.68025,208.02869,210.10194,195.5937,15.691159
"{1, 3}",228.95712,216.84361,231.06648,29.023558,214.09479,229.13904,21.507929,217.39848,0.0,21.644503,214.48248,22.701569,28.339285,12.085949,27.650618,230.65822
{1},18.911142,0.0,16.674023,241.43077,8.159575,18.681358,213.53998,3.0142875,216.84361,227.47359,8.005856,199.16824,207.50957,209.60393,195.10132,16.231293
"{2, 3}",238.71819,227.47359,240.76892,21.115173,224.7059,238.89839,17.335045,228.00189,21.644503,0.0,225.10307,31.299828,23.457754,20.546198,35.620834,240.36682
{2},3.7612252,16.674023,0.0,254.67673,19.16694,3.2861714,226.82152,15.521053,231.06648,240.76892,18.535835,213.42545,220.8112,223.8616,209.3482,2.018643
{3},252.64023,241.43077,254.67673,0.0,238.73346,252.82172,36.375923,241.9985,29.023558,21.115173,239.13129,50.13855,43.503445,39.61359,54.85003,254.26888
{},4.526965,16.231293,2.018643,254.26888,19.04899,4.3317757,226.41347,15.691159,230.65822,240.36682,18.564114,213.013,220.40056,223.45215,208.93336,0.0
