,{},p-value
"{0, 1, 2, 3}",3.348532,4.6629367034256575e-15
"{0, 1, 2}",2.2869077,6.472600233564663e-13
"{0, 1, 3}",3.2916605,8.881784197001252e-16
"{0, 1}",2.3060327,1.7252865802674933e-13
"{0, 2, 3}",2.4645379,2.220446049250313e-16
"{0, 2}",0.54441714,1.468380972369232e-12
"{0, 3}",2.5290284,1.1102230246251565e-15
{0},0.58584076,2.3871127297070416e-11
"{1, 2, 3}",2.6638737,6.661338147750939e-16
"{1, 2}",0.41559565,3.0055957722652238e-12
"{1, 3}",2.8569617,6.461498003318411e-14
{1},0.4827699,1.257107751229114e-10
"{2, 3}",2.640483,9.325873406851315e-15
{2},0.069389984,0.0014265706742671025
{3},3.917152,3.718136909469649e-12
{},0.0,
