,{},p-value
"{0, 1, 2, 3}",2.7660081,0.0
"{0, 1, 2}",1.9838551,3.411937399278031e-12
"{0, 1, 3}",2.4602525,1.3489209749195652e-12
"{0, 1}",1.852281,4.440892098500626e-16
"{0, 2, 3}",1.9777839,0.0
"{0, 2}",0.69699615,2.098543561146471e-12
"{0, 3}",1.9570494,0.0
{0},0.71361595,2.3103075008634733e-11
"{1, 2, 3}",2.1864607,0.0
"{1, 2}",0.3898131,4.099617936237365e-07
"{1, 3}",2.1547983,1.5987211554602254e-13
{1},0.4541484,3.394654868316138e-08
"{2, 3}",1.8731234,2.220446049250313e-16
{2},0.0509103,1.2889672738047864e-06
{3},2.4223542,6.579181643928678e-13
{},0.0,
