,{},p-value
"{0, 1, 2, 3}",4.028947,1.3322676295501878e-15
"{0, 1, 2}",2.836733,7.149836278586008e-14
"{0, 1, 3}",3.961253,0.0
"{0, 1}",2.8683658,5.773159728050814e-15
"{0, 2, 3}",3.1700377,0.0
"{0, 2}",0.61614376,4.6851411639181606e-14
"{0, 3}",3.367903,8.881784197001252e-16
{0},0.6024648,1.0869749544895058e-11
"{1, 2, 3}",3.8323774,2.220446049250313e-16
"{1, 2}",0.7397555,6.52589093874667e-13
"{1, 3}",4.2105093,0.0
{1},0.7259221,7.007727731433988e-13
"{2, 3}",3.3761942,0.0
{2},0.037645813,4.767919392634212e-11
{3},5.6350236,3.6415315207705135e-14
{},0.0,
