,{},p-value
"{0, 1, 2, 3}",3.6262047,8.625988812127616e-12
"{0, 1, 2}",2.8016906,3.517535152042228e-10
"{0, 1, 3}",3.80116,1.6653345369377348e-14
"{0, 1}",3.004602,8.463675316150443e-09
"{0, 2, 3}",2.755578,2.4202861936828413e-14
"{0, 2}",0.55206627,4.46753745109163e-13
"{0, 3}",2.9862206,4.5490278210991164e-12
{0},0.5793391,2.6849726886268854e-09
"{1, 2, 3}",3.2041345,2.220446049250313e-16
"{1, 2}",0.6007606,1.3775769414081651e-09
"{1, 3}",3.6430972,4.278577492300428e-12
{1},0.58743685,2.933764569057473e-07
"{2, 3}",2.9212987,0.0
{2},0.048708677,0.00048350373520755774
{3},5.264619,2.7713387140693158e-12
{},0.0,
