,0.0,0.2,0.4,0.6,0.8,0.99
"{0, 1, 2, 3}",,,,,,
"{0, 1, 2}",2.1196778,0.826143,0.56907403,0.23413096,0.12696722,0.0101316245
"{0, 1, 3}",,,,,,
"{0, 1}",2.0665934,0.7864855,0.56826407,0.22691272,0.12533116,0.010039429
"{0, 2, 3}",,,,,,
"{0, 2}",7.7981176,5.9110465,4.6322746,2.8876467,1.4702977,0.069382004
"{0, 3}",,,,,,
{0},7.8354344,5.9252853,4.6223354,2.8844452,1.4766836,0.06963919
"{1, 2, 3}",,,,,,
"{1, 2}",6.119155,4.3704934,3.3747172,2.222374,1.0433247,0.054604437
"{1, 3}",,,,,,
{1},6.113566,4.421512,3.4023008,2.2433205,1.0521103,0.054855887
"{2, 3}",,,,,,
{2},9.14564,6.8550916,5.437373,3.5001001,1.7829614,0.09286436
{3},,,,,,
{},9.133067,6.8774743,5.423182,3.4522343,1.7725756,0.09300417
