,0.0,0.2,0.4,0.6,0.8,0.99
"{0, 1, 2, 3}",,,,,,
"{0, 1, 2}",142.67216,228.09366,180.19885,83.00776,18.420053,0.052467484
"{0, 1, 3}",,,,,,
"{0, 1}",160.35365,259.37097,200.88551,91.99534,20.677523,0.072219945
"{0, 2, 3}",,,,,,
"{0, 2}",172.01202,279.09363,224.41216,104.8747,25.881384,0.059070196
"{0, 3}",,,,,,
{0},203.34831,333.60806,260.659,119.5085,30.495604,0.08052774
"{1, 2, 3}",,,,,,
"{1, 2}",164.95815,273.58163,214.77751,99.067955,24.509254,0.07053998
"{1, 3}",,,,,,
{1},192.41423,324.03925,248.36533,114.215225,28.559937,0.106768146
"{2, 3}",,,,,,
{2},209.43892,348.4437,276.20856,126.580444,33.409115,0.037612434
{3},,,,,,
{},272.6901,464.8169,355.15707,163.12886,44.885025,0.083635084
