,"(0.0, 'MNAR')","(0.2, 'MNAR')","(0.4, 'MNAR')","(0.6, 'MNAR')","(0.8, 'MNAR')","(0.99, 'MNAR')"
"{0, 1, 2, 3}",,,,,,
"{0, 1, 2}",142.67216,286.0413,470.1315,451.77167,360.80035,228.90564
"{0, 1, 3}",,,,,,
"{0, 1}",160.35365,325.29028,533.5528,501.86313,394.6724,254.62341
"{0, 2, 3}",,,,,,
"{0, 2}",172.01202,347.0014,577.37213,542.8843,423.9486,278.429
"{0, 3}",,,,,,
{0},203.34831,414.07965,686.6028,630.0549,482.47055,324.868
"{1, 2, 3}",,,,,,
"{1, 2}",164.95815,338.16837,553.51355,518.9559,418.78363,268.32663
"{1, 3}",,,,,,
{1},192.41423,402.16727,657.1497,600.4724,475.0537,312.76273
"{2, 3}",,,,,,
{2},209.43892,428.20093,710.2486,644.2577,502.32953,335.74054
{3},,,,,,
{},272.6901,566.6977,942.76984,829.6365,628.0786,444.45917
