,0.0,0.2,0.4,0.6,0.8,0.99
"{0, 1, 2, 3}",,,,,,
"{0, 1, 2}",61.754013,50.35801,35.19873,19.593742,10.547324,0.18189707
"{0, 1, 3}",,,,,,
"{0, 1}",62.190548,51.517876,35.634216,20.522068,11.028473,0.21013041
"{0, 2, 3}",,,,,,
"{0, 2}",99.1784,89.31058,66.27006,42.055477,23.017416,0.53973633
"{0, 3}",,,,,,
{0},100.19835,92.48647,65.98714,43.924904,24.166208,0.56574696
"{1, 2, 3}",,,,,,
"{1, 2}",86.29416,76.74066,56.920284,36.476574,18.691082,0.45816407
"{1, 3}",,,,,,
{1},84.7122,77.67331,57.313133,37.733006,19.684217,0.59914064
"{2, 3}",,,,,,
{2},107.58195,100.084015,73.10263,49.73309,25.693844,0.59713876
{3},,,,,,
{},116.15776,111.973656,72.91989,53.377697,27.368456,0.8833801
