,{},p-value
"{0, 1, 2, 3}",510.58066,5.777784917171402e-10
"{0, 1, 2}",103.71619,6.008241237864809e-09
"{0, 1, 3}",522.2891,5.712015305192608e-10
"{0, 1}",104.1669,4.283279952943531e-09
"{0, 2, 3}",524.6536,8.123199890519572e-10
"{0, 2}",37.379498,2.1413495421285234e-09
"{0, 3}",547.78253,1.1792782306230265e-09
{0},39.501804,3.798693359868821e-09
"{1, 2, 3}",525.82623,1.7386194706148217e-09
"{1, 2}",75.352776,1.5199534364462863e-07
"{1, 3}",548.28204,3.863095843215092e-09
{1},84.40074,1.5015598897605287e-07
"{2, 3}",546.4812,3.4541536297894027e-09
{2},1.761626,0.003860813474167335
{3},587.67065,3.8170301808193585e-08
{},0.0,
