,{},p-value
"{0, 1, 2, 3}",344.95084,1.7319116387692901e-06
"{0, 1, 2}",105.53266,6.458288850375027e-07
"{0, 1, 3}",351.0891,1.7297569909757726e-06
"{0, 1}",107.42491,8.707401746299581e-07
"{0, 2, 3}",331.40494,2.4555993232144857e-06
"{0, 2}",38.395866,7.550376424081406e-07
"{0, 3}",339.11884,2.397273023202473e-06
{0},39.775368,1.4478953380692161e-06
"{1, 2, 3}",360.5125,2.2844835074753433e-06
"{1, 2}",57.111557,4.5063627540642415e-07
"{1, 3}",373.2275,1.8852647869493921e-06
{1},57.843555,2.1126675342486578e-07
"{2, 3}",358.7826,2.9930669622757478e-06
{2},0.5696794,0.0011748046166202286
{3},375.40305,2.3409509832816866e-06
{},0.0,
