,{},p-value
"{0, 1, 2, 3}",863.4238,1.6959471378363844e-06
"{0, 1, 2}",167.63312,3.0673345448040124e-06
"{0, 1, 3}",875.4578,1.185070322540227e-06
"{0, 1}",166.08679,1.0892585657895637e-06
"{0, 2, 3}",916.5153,1.059213109888546e-06
"{0, 2}",37.5366,0.00012046893438788508
"{0, 3}",929.2238,8.233283057546004e-07
{0},33.34031,1.5398471639782585e-05
"{1, 2, 3}",917.175,1.1034941540533083e-06
"{1, 2}",111.349045,1.464892205316204e-07
"{1, 3}",924.8718,1.844844371268195e-06
{1},98.12524,5.307579380442462e-07
"{2, 3}",974.27936,1.7736256159306407e-06
{2},6.3904533,0.08507682905202296
{3},950.79144,3.158602079045281e-05
{},0.0,
