,{},p-value
"{0, 1, 2, 3}",657.17584,4.549073763682188e-06
"{0, 1, 2}",127.38624,1.08971788341794e-05
"{0, 1, 3}",682.5847,3.861771400659464e-06
"{0, 1}",135.20988,1.0185992075140149e-05
"{0, 2, 3}",696.5108,2.1327572692353414e-06
"{0, 2}",28.365925,0.00012420159998938196
"{0, 3}",731.77856,1.9916805023001416e-06
{0},35.84837,0.0002542392457920428
"{1, 2, 3}",676.77747,3.2287770768135715e-06
"{1, 2}",104.180756,5.086328580983235e-06
"{1, 3}",695.3344,2.365634942602668e-06
{1},100.61815,1.2571639445013716e-06
"{2, 3}",728.25653,1.8665985435095678e-06
{2},2.1884592,0.007370496253101377
{3},734.72296,1.4043954294384875e-05
{},0.0,
