,,Transformer,Transformer,Transformer,Transformer,Transformer,XGBoost,XGBoost,XGBoost,XGBoost,XGBoost
,, , ,Imputation,Imputation,Imputation, , ,Imputation,Imputation,Imputation
,,None,Dropped,Simple,Iterative,Miceforest,None,Dropped,Simple,Iterative,Miceforest
Dataset,Metric,,,,,,,,,,
kr-vs-kp,Accuracy,0.98,nan,,,,9.93e-01,nan,,,
kr-vs-kp,NLL,0.07,nan,,,,0.02,nan,,,
letter,Accuracy,0.95,nan,,,,0.96,nan,,,
letter,NLL,0.16,nan,,,,0.16,nan,,,
mfeat-fourier,Accuracy,0.82,nan,,,,0.81,nan,,,
mfeat-fourier,NLL,0.49,nan,,,,0.52,nan,,,
mfeat-karhunen,Accuracy,0.95,nan,,,,0.94,nan,,,
mfeat-karhunen,NLL,0.18,nan,,,,0.21,nan,,,
mfeat-morphological,Accuracy,0.74,nan,,,,0.72,nan,,,
mfeat-morphological,NLL,0.65,nan,,,,0.67,nan,,,
mfeat-zernike,Accuracy,0.78,nan,,,,0.78,nan,,,
mfeat-zernike,NLL,0.61,nan,,,,0.52,nan,,,
cmc,Accuracy,0.54,nan,,,,0.54,nan,,,
cmc,NLL,0.96,nan,,,,1.03,nan,,,
optdigits,Accuracy,0.98,nan,,,,0.98,nan,,,
optdigits,NLL,0.09,nan,,,,0.09,nan,,,
pendigits,Accuracy,9.93e-01,nan,,,,0.99,nan,,,
pendigits,NLL,0.03,nan,,,,0.05,nan,,,
spambase,Accuracy,0.95,nan,,,,0.95,nan,,,
spambase,NLL,0.17,nan,,,,0.16,nan,,,
splice,Accuracy,0.96,nan,,,,0.95,nan,,,
splice,NLL,0.14,nan,,,,0.15,nan,,,
electricity,Accuracy,0.82,nan,,,,0.91,nan,,,
electricity,NLL,0.39,nan,,,,0.22,nan,,,
satimage,Accuracy,0.90,nan,,,,0.91,nan,,,
satimage,NLL,0.26,nan,,,,0.30,nan,,,
pc4,Accuracy,0.90,nan,,,,0.91,nan,,,
pc4,NLL,0.43,nan,,,,0.30,nan,,,
pc3,Accuracy,0.85,nan,,,,0.87,nan,,,
pc3,NLL,0.60,nan,,,,0.56,nan,,,
kc1,Accuracy,0.64,nan,,,,0.83,nan,,,
kc1,NLL,0.55,nan,,,,0.59,nan,,,
pc1,Accuracy,0.90,nan,,,,0.92,nan,,,
pc1,NLL,0.72,nan,,,,0.33,nan,,,
phoneme,Accuracy,0.88,nan,,,,0.90,nan,,,
phoneme,NLL,0.30,nan,,,,0.29,nan,,,
qsar-biodeg,Accuracy,0.85,nan,,,,0.85,nan,,,
qsar-biodeg,NLL,0.51,nan,,,,0.35,nan,,,
wall-robot-navigation,Accuracy,0.97,nan,,,,0.99,nan,,,
wall-robot-navigation,NLL,0.07,nan,,,,0.04,nan,,,
ozone-level-8hr,Accuracy,0.91,nan,,,,0.94,nan,,,
ozone-level-8hr,NLL,0.43,nan,,,,0.30,nan,,,
first-order-theorem-proving,Accuracy,,,,,,,,,,
first-order-theorem-proving,NLL,,,,,,,,,,
banknote-authentication,Accuracy,,,,,,,,,,
banknote-authentication,NLL,,,,,,,,,,
PhishingWebsites,Accuracy,,,,,,,,,,
PhishingWebsites,NLL,,,,,,,,,,
bank-marketing,Accuracy,,,,,,,,,,
bank-marketing,NLL,,,,,,,,,,
GesturePhaseSegmentationProcessed,Accuracy,,,,,,,,,,
GesturePhaseSegmentationProcessed,NLL,,,,,,,,,,
texture,Accuracy,,,,,,,,,,
texture,NLL,,,,,,,,,,
connect-4,Accuracy,,,,,,,,,,
connect-4,NLL,,,,,,,,,,
steel-plates-fault,Accuracy,,,,,,,,,,
steel-plates-fault,NLL,,,,,,,,,,
wilt,Accuracy,,,,,,,,,,
wilt,NLL,,,,,,,,,,
car,Accuracy,1.00e+00,nan,,,,0.98,nan,,,
car,NLL,1.99e-03,nan,,,,0.06,nan,,,
segment,Accuracy,0.92,nan,,,,0.92,nan,,,
segment,NLL,0.22,nan,,,,0.23,nan,,,
jungle_chess_2pcs_raw_endgame_complete,Accuracy,0.86,nan,,,,0.87,nan,,,
jungle_chess_2pcs_raw_endgame_complete,NLL,0.28,nan,,,,0.29,nan,,,
numerai28.6,Accuracy,0.50,nan,,,,0.52,nan,,,
numerai28.6,NLL,0.69,nan,,,,0.69,nan,,,
churn,Accuracy,0.94,nan,,,,0.96,nan,,,
churn,NLL,0.24,nan,,,,0.28,nan,,,
diamonds,RMSE,1.41,nan,,,,1.41,nan,,,
quake,RMSE,1.00e+00,nan,,,,1.01e+00,nan,,,
socmob,RMSE,1.51,nan,,,,1.33,nan,,,
space_ga,RMSE,1.29,nan,,,,1.30,nan,,,
wine_quality,RMSE,1.20,nan,,,,1.23,nan,,,
elevators,RMSE,1.37,nan,,,,1.38,nan,,,
Brazilian_houses,RMSE,1.02,nan,,,,0.90,nan,,,
OnlineNewsPopularity,RMSE,1.02,nan,,,,1.02,nan,,,
abalone,RMSE,1.26,nan,,,,1.23,nan,,,
pol,RMSE,1.40,nan,,,,1.40,nan,,,
house_sales,RMSE,1.37,nan,,,,1.38,nan,,,
house_16H,RMSE,1.25,nan,,,,1.26,nan,,,
